word,lemma,definition,part_of_speech,frequency,grammatical_info
findere,findere,second-person singular future passive indicative of findō,Verb,1,
sarculo,sarculo,"to hoe, weed",Verb,1,
agros,agros,accusative plural of ager,Noun,1,
attalicis,attalicis,,,1,
condicionibus,condicionibus,dative/ablative plural of condiciō,Noun,1,
numquam,numquam,"never, at no time",Adverb,1,
demoveas,demoveas,second-person singular present active subjunctive of dēmoveō,Verb,1,
ut,ut,how? in what way?,Adverb,1,
trabe,trabe,ablative singular of trabs,Noun,1,
cypria,cypria,,,1,
myrtoum,myrtoum,,,1,
pavidus,pavidus,"trembling, quaking, fearful, terrified, alarmed",Adjective,1,
nauta,nauta,"sailor, seaman, mariner",Noun,1,
secet,secet,third-person singular present active subjunctive of secō,Verb,1,
mare,mare,sea,Noun,1,
luctantem,luctantem,accusative masculine/feminine singular of lū̆ctāns,Participle,1,
icariis,icariis,,,1,
fluctibus,fluctibus,"dative/ablative plural of flūctus (“wave, billow”)",Noun,1,
africum,africum,"inflection of āfricus:
nominative/accusative/vocative neuter singular
accusative masculine singular",Adjective,1,
15,15,,,1,
mercator,mercator,"merchant, trader, wholesale dealer",Noun,1,
metuens,metuens,"fearing, frightened, afraid, scared",Participle,1,
otium,otium,"time free from activity: leisure, free time",Noun,1,
oppidi,oppidi,genitive singular of oppidum,Noun,1,
laudat,laudat,third-person singular present active indicative of laudō,Verb,1,
rura,rura,nominative/accusative/vocative plural of rūs,Noun,1,
sui,sui,"the genitive of the reflexive pronoun meaning of himself, of herself, of itself, of themselves, one another, each other, etc.",Pronoun,1,
mox,mox,soon,Adverb,1,
reficit,reficit,third-person singular present active indicative of reficiō,Verb,1,
rates,rates,nominative/accusative/vocative plural of ratis,Noun,1,
quassas,quassas,second-person singular present active indicative of quassō,Verb,1,
indocilis,indocilis,unteachable,Adjective,1,
pauperiem,pauperiem,accusative singular of pauperiēs,Noun,1,
pati,pati,present active infinitive of patior,Verb,1,
qui,qui,"who, that, which, what",Pronoun,1,
veteris,veteris,genitive masculine/feminine/neuter singular of vetus,Adjective,1,
pocula,pocula,nominative/accusative/vocative plural of pōculum,Noun,1,
massici,massici,,,1,
partem,partem,accusative singular of pars (“part”),Noun,1,
solido,solido,"to make, or become solid, firm, etc.",Verb,1,
demere,demere,second-person singular future passive indicative of dēmō,Verb,1,
die,die,ablative/locative singular of diēs (“day”),Noun,1,
20,20,,,1,
spernit,spernit,third-person singular present active indicative of spernō,Verb,1,
viridi,viridi,dative/ablative masculine/feminine/neuter singular of viridis,Adjective,1,
membra,membra,nominative/accusative/vocative plural of membrum,Noun,1,
arbuto,arbuto,dative/ablative singular of arbutus,Noun,1,
stratus,stratus,"spread, stretched out, spread out, having been spread out",Participle,1,
aquae,aquae,"inflection of aqua:
genitive/dative singular
nominative/vocative plural",Noun,1,
lene,lene,"softly, gently",Adverb,1,
caput,caput,The head.,Noun,1,
sacrae,sacrae,"inflection of sacer:
nominative/vocative feminine plural
genitive/dative feminine singular",Adjective,1,
multos,multos,accusative masculine plural of multus,Adjective,1,
castra,castra,"an encampment, military camp",Noun,1,
iuvant,iuvant,third-person plural present active indicative of iuvō,Verb,1,
lituo,lituo,dative/ablative singular of lituus,Noun,1,
tubae,tubae,"inflection of tuba:
genitive/dative singular
nominative/vocative plural",Noun,1,
permixtus,permixtus,"mixed, mingled, combined",Participle,1,
sonitus,sonitus,"sounded, resounded",Participle,1,
bellaque,bellaque,,,1,
matribus,matribus,dative/ablative plural of māter,Noun,1,
detestata,detestata,"inflection of dētestātus:
nominative/vocative feminine singular
nominative/accusative/vocative neuter plural",Participle,1,
manet,manet,third-person singular present active indicative of maneō,Verb,1,
iove,iove,,,1,
frigido,frigido,"to make cool, to cool",Verb,1,
25,25,,,1,
venator,venator,hunter,Noun,1,
tenerae,tenerae,"inflection of tener:
nominative/vocative feminine plural
genitive/dative feminine singular",Adjective,1,
coniugis,coniugis,genitive singular of coniūnx,Noun,1,
inmemor,inmemor,forgetful,Adjective,1,
visa,visa,nominative/accusative/vocative plural of vīsum,Noun,1,
catulis,catulis,dative/ablative plural of catulus,Noun,1,
cerva,cerva,"a female deer, doe, hind",Noun,1,
fidelibus,fidelibus,dative/ablative plural of fidēlis,Noun,1,
rupit,rupit,third-person singular perfect active indicative of rumpō,Verb,1,
teretis,teretis,genitive masculine/feminine/neuter singular of teres,Adjective,1,
marsus,marsus,,,1,
aper,aper,a wild boar,Noun,1,
plagas,plagas,accusative plural of plaga,Noun,1,
doctarum,doctarum,genitive feminine plural of doctus,Participle,1,
hederae,hederae,"inflection of hedera:
nominative/vocative plural
genitive/dative singular",Noun,1,
praemia,praemia,nominative/accusative/vocative plural of praemium,Noun,1,
frontium,frontium,genitive plural of frōns (“forehead; brow; front”),Noun,1,
dis,dis,alternative form of dīves,Adjective,1,
miscent,miscent,third-person plural present active indicative of misceō,Verb,1,
superis,superis,dative/ablative masculine/feminine/neuter plural of superus,Adjective,1,
gelidum,gelidum,nominative neuter singular of gelidus,Adjective,1,
nemus,nemus,a grove or glade,Noun,1,
30,30,,,1,
nympharumque,nympharumque,,,1,
leves,leves,nominative/accusative/vocative masculine/feminine plural of levis,Adjective,1,
cum,cum,"with, along with",Preposition,1,
satyris,satyris,dative/ablative plural of satyrus,Noun,1,
chori,chori,"inflection of chorus:
nominative/vocative plural
genitive singular",Noun,1,
secernunt,secernunt,third-person plural present active indicative of sēcernō,Verb,1,
populo,populo,"to ravage, devastate, lay waste",Verb,1,
neque,neque,not,Adverb,1,
tibias,tibias,accusative plural of tībia,Noun,1,
euterpe,euterpe,,,1,
cohibet,cohibet,third-person singular present active indicative of cohibeō,Verb,1,
polyhymnia,polyhymnia,,,1,
lesboum,lesboum,,,1,
refugit,refugit,third-person singular present active indicative of refugiō,Verb,1,
tendere,tendere,second-person singular future passive indicative of tendō,Verb,1,
barbiton,barbiton,,,1,
quod,quod,neuter nominative/accusative singular of quī,Pronoun,1,
lyricis,lyricis,dative/ablative plural masculine/feminine/neuter of lyricus,Adjective,1,
vatibus,vatibus,dative/ablative plural of vātēs,Noun,1,
inseres,inseres,second-person singular future active indicative of īnserō,Verb,1,
35,35,,,1,
sublimi,sublimi,"inflection of sublīmus:
nominative/vocative masculine plural
genitive masculine/neuter singular",Adjective,1,
feriam,feriam,"inflection of feriō:
first-person singular future active indicative
first-person singular present active subjunctive",Verb,1,
sidera,sidera,nominative/accusative/vocative plural of sīdus,Noun,1,
vertice,vertice,ablative singular of vertex,Noun,1,
